row_id,market,board_pathway,standard,limb,metric_field,op,value,unit_ccy,or_group,basis_note,rule_citation,official_source_url,effective_from,threshold_verified,review_status,human_signoff,reviewer_notes
PRC A-SHARE — SSE & SZSE MAIN BOARD (沪深主板)  |  pack: cn_main_board.yaml  |  《股票上市规则(2024年4月修订)》3.1.2 — meet >=1 of 3 standards,,,,,,,,,,,,,,,,,
MB-P0a,CN,Main Board,3.1.1 structural,post-issue share capital,offering.post_issue_share_capital,>=,"50,000,000",CNY,,,SSE/SZSE 上市规则 3.1.1(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-P0b,CN,Main Board,3.1.1 structural,publicly OFFERED shares as % of total share capital (公开发行比例),offering.public_float_pct,>=,25% (10% if share capital > CNY 400M),%,,Offering-size condition at IPO — NOT an HK-style ongoing public float; two-tier by post-issue share capital,3.1.1(三),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S1-1,CN,Main Board,Std 1,net profit positive each of last 3 FYs,financials.net_profit_positive_each_year[3fy],=,TRUE,bool,,"孰低 basis, audited",3.1.2(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,CONFIRM,TRUE,EXAMPLE ROW — reset during review
MB-S1-2,CN,Main Board,Std 1,3-yr aggregate net profit,financials.net_profit_regulatory_cn_aggregate_3fy,>=,"200,000,000",CNY,,孰低 basis,3.1.2(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S1-3,CN,Main Board,Std 1,latest-FY net profit,financials.net_profit_regulatory_cn_latest,>=,"100,000,000",CNY,,孰低 basis,3.1.2(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S1-4a,CN,Main Board,Std 1,3-yr aggregate operating cash flow,financials.operating_cash_flow_aggregate_track_record,>=,"200,000,000",CNY,MB-S1-G1,OR-group with MB-S1-4b,3.1.2(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S1-4b,CN,Main Board,Std 1,3-yr aggregate revenue,financials.revenue_aggregate_track_record,>=,"1,500,000,000",CNY,MB-S1-G1,OR-group with MB-S1-4a,3.1.2(一),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S2-1,CN,Main Board,Std 2,expected market cap,offering.expected_market_cap_at_listing,>=,"5,000,000,000",CNY,,Deal parameter,3.1.2(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
MB-S2-2,CN,Main Board,Std 2,latest-FY net profit positive,financials.net_profit_regulatory_cn_latest,>,0,CNY,,孰低,3.1.2(二),https://www.sse.com.cn/lawandrules/sselawsrules/stocks/mainipo/c/c_20240430_10753904.shtml,2024-04-30,web_verified_2026-07-24,,,
